# Window-based topology counter
# PYTHON VERSION: 3.11.3
# Script call:    18_topo_counter.py -i ../data/mm10-10kb-window-stats.tsv -t ../04-iqtree/ -w 10 -o ../data/mm10-10kb-topo-counts.csv
# Runtime:        07/27/2023 18:25:55
# ----------------
# Window size:          10000.0
# Window file:          ../data/mm10-10kb-window-stats.tsv
# Tree dir:             ../04-iqtree/
# Output file:          ../data/mm10-10kb-topo-counts.csv
# 07.27.2023 | 18:25:55 Reading windows...
# Windows read:         9499
# Chromosome:           17
# Chromosome length:    94987271
# Locus tree directory: ../04-iqtree/chr17/10kb/loci
# Concat tree file:     ../04-iqtree/chr17/10kb/concat/chr17-concat.treefile.rooted
# ASTRAL tree file:     ../04-iqtree/chr17/10kb/astral/chr17-astral.treefile.rooted
# Concordance file:     ../04-iqtree/chr17/10kb/astral/chr17-astral.cf.stat
# ----------------
# 07.27.2023 | 18:25:55 Reading concatenated chromosome tree...
# Concat chromosome tree:      "(pahari:0.0385283,(caroli:0.0225932267,((mus-t:0.0039517303,mm10:0.0029577244)100:0.0092301288,(spicilegus:0.0080599363,spretus:0.0103265889)100:0.0031609812)100:0.0145824337):0.0385283);"
# Concat chromosome topology:  "(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>"
# 07.27.2023 | 18:25:55 Reading ASTRAL chromosome tree...
# ASTRAL chromosome tree:      "(pahari,(((spicilegus,spretus)1:0.5521352663568871,(mus-t,mm10)1:1.825794664015147)1:0.694750790890728,caroli):0);"
# ASTRAL chromosome topology:  "(pahari,(((spicilegus,spretus)<1>,(mus-t,mm10)<2>)<3>,caroli)<4>)<5>"
# ASTRAL-concat match:   TRUE
# 07.27.2023 | 18:25:55 Calculating average CFs...
# Average gCF:          67.1
# Average sCF:          74.79
# 07.27.2023 | 18:25:55 Reading windows and counting topologies...
# Total trees read:   6708
# No tree file:       0
# Filtered windows:   2791
# Unique topologies:  88
# ----------------
# 07.27.2023 | 18:30:46 Counting and ranking topologies for this chromosome...
# ----------------
# 07.27.2023 | 18:30:46 Counting and ranking overall topologies...
# ----------------
# 07.27.2023 | 18:30:46 Writing output: ../data/mm10-10kb-topo-counts.csv
window,chr,chr.len,start,end,filter,gcf,scf,topo.num.overall,topo.count.overall,topo.rank.overall,topo.color,topo.num.chrome,topo.count.chrome,topo.rank.chrome,topo,concat.chrome.topo.match,astral.chrome.topo.match,unparsed.tree
chr17:93040000-93050000,"chr17","94987271","93040000","93050000","PASS","67.1","74.79","1","2527","1","#db6d00","1","2527","1","(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>;","TRUE","TRUE","(pahari:0.110004,(caroli:0.0000022322,((mus-t:0.0479771044,mm10:0.0066195558)65:0.0068576453,(spicilegus:0.0054628384,spretus:0.0128194126)79:0.0022880316)65:0.0407527981):0.110004);"
chr17:29530000-29540000,"chr17","94987271","29530000","29540000","PASS","67.1","74.79","1","2527","1","#db6d00","1","2527","1","(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>;","TRUE","TRUE","(pahari:0.033566,(caroli:0.0168520166,((mus-t:0.0011732626,mm10:0.0000029762)100:0.0171946670,(spicilegus:0.0014916887,spretus:0.0207006161)92:0.0089410388)81:0.0077165145):0.033566);"
chr17:34550000-34560000,"chr17","94987271","34550000","34560000","FILTER","67.1","74.79","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
chr17:18620000-18630000,"chr17","94987271","18620000","18630000","PASS","67.1","74.79","4","52","19","#999999","4","52","19","(pahari,((((caroli,spretus)<1>,spicilegus)<2>,mus-t)<3>,mm10)<4>)<5>;","FALSE","FALSE","(pahari:0.241618,((((caroli:0.0000020141,spretus:0.0000024642)88:0.0679198761,spicilegus:0.2007481731)60:0.0377411371,mus-t:0.0460316172)19:0.0310538054,mm10:0.0046969476):0.241618);"
chr17:28820000-28830000,"chr17","94987271","28820000","28830000","PASS","67.1","74.79","1","2527","1","#db6d00","1","2527","1","(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>;","TRUE","TRUE","(pahari:0.0334296,(caroli:0.0185879540,((mus-t:0.0033270489,mm10:0.0028159093)100:0.0049802012,(spicilegus:0.0053088905,spretus:0.0049232714)100:0.0033187202)100:0.0084853306):0.0334296);"
chr17:3380000-3390000,"chr17","94987271","3380000","3390000","PASS","67.1","74.79","1","2527","1","#db6d00","1","2527","1","(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>;","TRUE","TRUE","(pahari:0.0257098,(caroli:0.0166079811,((mus-t:0.0006076405,mm10:0.0012214982)100:0.0093708245,(spicilegus:0.0067795981,spretus:0.0131575128)93:0.0024545025)100:0.0153236679):0.0257098);"
chr17:64070000-64080000,"chr17","94987271","64070000","64080000","PASS","67.1","74.79","5","914","2","#004949","5","914","2","(pahari,(caroli,(((mus-t,mm10)<1>,spicilegus)<2>,spretus)<3>)<4>)<5>;","FALSE","FALSE","(pahari:0.432799,(caroli:0.0000026923,(((mus-t:0.0000024835,mm10:0.0000026082)98:0.0074699634,spicilegus:0.0081709258)77:0.0043358865,spretus:0.0121600799)50:0.0446377674):0.432799);"
chr17:71250000-71260000,"chr17","94987271","71250000","71260000","FILTER","67.1","74.79","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
chr17:3670000-3680000,"chr17","94987271","3670000","3680000","PASS","67.1","74.79","1","2527","1","#db6d00","1","2527","1","(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>;","TRUE","TRUE","(pahari:0.0218337,(caroli:0.0185896788,((mus-t:0.0005024206,mm10:0.0001904563)100:0.0087282157,(spicilegus:0.0088922063,spretus:0.0056861243)63:0.0006395352)100:0.0124245280):0.0218337);"
chr17:16860000-16870000,"chr17","94987271","16860000","16870000","PASS","67.1","74.79","1","2527","1","#db6d00","1","2527","1","(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>;","TRUE","TRUE","(pahari:0.0220422,(caroli:0.0205265342,((mus-t:0.0055248249,mm10:0.0037415963)99:0.0018359136,(spicilegus:0.0054477362,spretus:0.0056876308)96:0.0017020881)100:0.0177684738):0.0220422);"
chr17:1760000-1770000,"chr17","94987271","1760000","1770000","FILTER","67.1","74.79","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
chr17:34530000-34540000,"chr17","94987271","34530000","34540000","FILTER","67.1","74.79","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
chr17:4640000-4650000,"chr17","94987271","4640000","4650000","PASS","67.1","74.79","5","914","2","#004949","5","914","2","(pahari,(caroli,(((mus-t,mm10)<1>,spicilegus)<2>,spretus)<3>)<4>)<5>;","FALSE","FALSE","(pahari:0.0333743,(caroli:0.0252396338,(((mus-t:0.0012900169,mm10:0.0029158818)100:0.0156905397,spicilegus:0.0085641347)90:0.0023153249,spretus:0.0114385746)100:0.0101517479):0.0333743);"
chr17:42000000-42010000,"chr17","94987271","42000000","42010000","PASS","67.1","74.79","1","2527","1","#db6d00","1","2527","1","(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>;","TRUE","TRUE","(pahari:0.0150572,(caroli:0.0000020045,((mus-t:0.0012184552,mm10:0.0007329828)100:0.0102444719,(spicilegus:0.0085401762,spretus:0.0152910220)68:0.0016981844)97:0.0349958295):0.0150572);"
chr17:28850000-28860000,"chr17","94987271","28850000","28860000","PASS","67.1","74.79","1","2527","1","#db6d00","1","2527","1","(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>;","TRUE","TRUE","(pahari:0.0446287,(caroli:0.0224705841,((mus-t:0.0057714732,mm10:0.0065307126)100:0.0045658201,(spicilegus:0.0070245461,spretus:0.0049719358)100:0.0045779385)100:0.0113739157):0.0446287);"
chr17:26210000-26220000,"chr17","94987271","26210000","26220000","PASS","67.1","74.79","1","2527","1","#db6d00","1","2527","1","(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>;","TRUE","TRUE","(pahari:0.0287597,(caroli:0.0209456285,((mus-t:0.0053436468,mm10:0.0080910906)100:0.0025732607,(spicilegus:0.0062720574,spretus:0.0075685563)100:0.0019535732)100:0.0100867186):0.0287597);"
chr17:29560000-29570000,"chr17","94987271","29560000","29570000","PASS","67.1","74.79","2","454","3","#006ddb","2","454","3","(pahari,(caroli,(((mus-t,mm10)<1>,spretus)<2>,spicilegus)<3>)<4>)<5>;","FALSE","FALSE","(pahari:0.0325946,(caroli:0.0403899965,(((mus-t:0.0012023955,mm10:0.0017343228)100:0.0064853652,spretus:0.0079655899)90:0.0027525134,spicilegus:0.0068654255)100:0.0088723769):0.0325946);"
chr17:36060000-36070000,"chr17","94987271","36060000","36070000","FILTER","67.1","74.79","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
chr17:31150000-31160000,"chr17","94987271","31150000","31160000","PASS","67.1","74.79","1","2527","1","#db6d00","1","2527","1","(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>;","TRUE","TRUE","(pahari:0.0384871,(caroli:0.0188095715,((mus-t:0.0126720734,mm10:0.0082115583)50:0.0018428152,(spicilegus:0.0064621709,spretus:0.0117519931)98:0.0038977328)100:0.0129216027):0.0384871);"
chr17:12070000-12080000,"chr17","94987271","12070000","12080000","PASS","67.1","74.79","1","2527","1","#db6d00","1","2527","1","(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>;","TRUE","TRUE","(pahari:0.046623,(caroli:0.0231616478,((mus-t:0.0114694836,mm10:0.0060402951)90:0.0062247030,(spicilegus:0.0114113729,spretus:0.0038341674)100:0.0247430179)100:0.0150359993):0.046623);"
chr17:81780000-81790000,"chr17","94987271","81780000","81790000","FILTER","67.1","74.79","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
chr17:21860000-21870000,"chr17","94987271","21860000","21870000","PASS","67.1","74.79","3","225","7","#999999","3","225","7","(pahari,((spicilegus,spretus)<1>,(caroli,(mus-t,mm10)<2>)<3>)<4>)<5>;","FALSE","FALSE","(pahari:0.172034,((spicilegus:0.0000010066,spretus:0.0285742077)54:0.0087650313,(caroli:0.0276067782,(mus-t:0.0042301953,mm10:0.0076036028)83:0.0124667763):0.0064688250)44:0.172034);"
chr17:24410000-24420000,"chr17","94987271","24410000","24420000","PASS","67.1","74.79","1","2527","1","#db6d00","1","2527","1","(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>;","TRUE","TRUE","(pahari:0.0290806,(caroli:0.0171648303,((mus-t:0.0046637091,mm10:0.0044191212)100:0.0045876182,(spicilegus:0.0044601095,spretus:0.0050928888)98:0.0026260653)100:0.0129844450):0.0290806);"
chr17:380000-390000,"chr17","94987271","380000","390000","FILTER","67.1","74.79","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
chr17:62550000-62560000,"chr17","94987271","62550000","62560000","PASS","67.1","74.79","6","176","9","#999999","6","176","9","(pahari,(((caroli,(spicilegus,spretus)<1>)<2>,mus-t)<3>,mm10)<4>)<5>;","FALSE","FALSE","(pahari:5e-07,(((caroli:0.0258071008,(spicilegus:0.0064593295,spretus:0.0101345383)63:0.0028400205)40:0.0062743370,mus-t:0.0016197574)9:0.0000025310,mm10:0.0007271938):5e-07);"
chr17:83810000-83820000,"chr17","94987271","83810000","83820000","PASS","67.1","74.79","6","176","9","#999999","6","176","9","(pahari,(((caroli,(spicilegus,spretus)<1>)<2>,mus-t)<3>,mm10)<4>)<5>;","FALSE","FALSE","(pahari:2.44902,(((caroli:0.0357833770,(spicilegus:0.0047698195,spretus:0.0105135769)45:0.0026038295)56:0.0082582684,mus-t:0.0030886419)13:0.0000023097,mm10:0.0013640138):2.44902);"
chr17:75420000-75430000,"chr17","94987271","75420000","75430000","FILTER","67.1","74.79","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
chr17:46740000-46750000,"chr17","94987271","46740000","46750000","PASS","67.1","74.79","1","2527","1","#db6d00","1","2527","1","(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>;","TRUE","TRUE","(pahari:5,(caroli:0.0069270198,((mus-t:0.0000010000,mm10:0.0000010000)95:0.0123036151,(spicilegus:0.0064830883,spretus:0.0074011764)68:0.0046177803)13:0.0327642473):5);"
chr17:47900000-47910000,"chr17","94987271","47900000","47910000","PASS","67.1","74.79","1","2527","1","#db6d00","1","2527","1","(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>;","TRUE","TRUE","(pahari:5e-07,(caroli:0.0088060369,((mus-t:0.0000010000,mm10:0.0000010000)93:0.0092387565,(spicilegus:0.0052461316,spretus:0.0067364739)73:0.0032071587)22:0.0162544860):5e-07);"
chr17:7180000-7190000,"chr17","94987271","7180000","7190000","PASS","67.1","74.79","7","111","11","#999999","7","111","11","(pahari,(caroli,(mus-t,((mm10,spicilegus)<1>,spretus)<2>)<3>)<4>)<5>;","FALSE","FALSE","(pahari:0.0373662,(caroli:0.0210459401,(mus-t:0.0088072391,((mm10:0.0041284588,spicilegus:0.0044579921)97:0.0025531985,spretus:0.0099147536)79:0.0020738879)100:0.0137079651):0.0373662);"
chr17:80140000-80150000,"chr17","94987271","80140000","80150000","FILTER","67.1","74.79","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
chr17:9190000-9200000,"chr17","94987271","9190000","9200000","PASS","67.1","74.79","8","24","27","#999999","8","24","27","(pahari,(caroli,((mus-t,spretus)<1>,(mm10,spicilegus)<2>)<3>)<4>)<5>;","FALSE","FALSE","(pahari:0.0364229,(caroli:0.0211899194,((mus-t:0.0075185862,spretus:0.0072995501)73:0.0014873473,(mm10:0.0039991646,spicilegus:0.0093672752)100:0.0044264654)100:0.0119987277):0.0364229);"
chr17:87770000-87780000,"chr17","94987271","87770000","87780000","PASS","67.1","74.79","1","2527","1","#db6d00","1","2527","1","(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>;","TRUE","TRUE","(pahari:5,(caroli:0.0066852898,((mus-t:0.0099297454,mm10:0.0094116034)67:0.0077817125,(spicilegus:0.0092723236,spretus:0.0144430984)92:0.0059186356)16:0.0361228388):5);"
chr17:76870000-76880000,"chr17","94987271","76870000","76880000","PASS","67.1","74.79","6","176","9","#999999","6","176","9","(pahari,(((caroli,(spicilegus,spretus)<1>)<2>,mus-t)<3>,mm10)<4>)<5>;","FALSE","FALSE","(pahari:0.0643986,(((caroli:0.0498577647,(spicilegus:0.0065364454,spretus:0.0096093028)83:0.0019392332)66:0.0125321682,mus-t:0.0011607910)17:0.0002607664,mm10:0.0003446210):0.0643986);"
chr17:41230000-41240000,"chr17","94987271","41230000","41240000","PASS","67.1","74.79","1","2527","1","#db6d00","1","2527","1","(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>;","TRUE","TRUE","(pahari:0.876021,(caroli:0.0115241086,((mus-t:0.0086686770,mm10:0.0065466603)83:0.0075614497,(spicilegus:0.0042572928,spretus:0.0124227125)75:0.0043016603)16:0.0280733920):0.876021);"
chr17:37100000-37110000,"chr17","94987271","37100000","37110000","PASS","67.1","74.79","9","51","21","#999999","9","51","21","(pahari,((caroli,spicilegus)<1>,((mus-t,mm10)<2>,spretus)<3>)<4>)<5>;","FALSE","FALSE","(pahari:0.370281,((caroli:0.0056345575,spicilegus:0.0138552412)88:0.0425308555,((mus-t:0.0147476279,mm10:0.0382109018)68:0.0080491269,spretus:0.0223656403)33:0.0000022406):0.370281);"
chr17:45960000-45970000,"chr17","94987271","45960000","45970000","PASS","67.1","74.79","10","177","8","#999999","10","177","8","(pahari,(((caroli,(spicilegus,spretus)<1>)<2>,mm10)<3>,mus-t)<4>)<5>;","FALSE","FALSE","(pahari:5,(((caroli:0.0329448239,(spicilegus:0.0078265468,spretus:0.0144803629)49:0.0015997005)46:0.0035711526,mm10:0.0035230904)17:0.0017728247,mus-t:0.0017871393):5);"
chr17:32450000-32460000,"chr17","94987271","32450000","32460000","PASS","67.1","74.79","10","177","8","#999999","10","177","8","(pahari,(((caroli,(spicilegus,spretus)<1>)<2>,mm10)<3>,mus-t)<4>)<5>;","FALSE","FALSE","(pahari:5,(((caroli:0.0340494059,(spicilegus:0.0059856520,spretus:0.0071287603)57:0.0022789160)58:0.0137460360,mm10:0.0005015624)20:0.0000227848,mus-t:0.0023396867):5);"
chr17:43750000-43760000,"chr17","94987271","43750000","43760000","PASS","67.1","74.79","1","2527","1","#db6d00","1","2527","1","(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>;","TRUE","TRUE","(pahari:0.013597,(caroli:0.0013100808,((mus-t:0.0016583614,mm10:0.0018061805)100:0.0081411683,(spicilegus:0.0063733513,spretus:0.0066570471)100:0.0058844415)100:0.0373594600):0.013597);"
chr17:54700000-54710000,"chr17","94987271","54700000","54710000","PASS","67.1","74.79","11","253","6","#999999","11","253","6","(pahari,(((caroli,(mus-t,mm10)<1>)<2>,spretus)<3>,spicilegus)<4>)<5>;","FALSE","FALSE","(pahari:0.141687,(((caroli:0.0304334683,(mus-t:0.0000010000,mm10:0.0000010000)95:0.0139963268)73:0.0055394404,spretus:0.0075929765)21:0.0030967181,spicilegus:0.0017573588):0.141687);"
chr17:36650000-36660000,"chr17","94987271","36650000","36660000","PASS","67.1","74.79","12","62","17","#999999","12","62","17","(pahari,(((caroli,spicilegus)<1>,(mus-t,mm10)<2>)<3>,spretus)<4>)<5>;","FALSE","FALSE","(pahari:0.795687,(((caroli:0.2526106875,spicilegus:0.0000021765)66:0.0064139291,(mus-t:0.0073310954,mm10:0.0091487565)49:0.0044694469)20:0.0000674780,spretus:0.0171648037):0.795687);"
chr17:84090000-84100000,"chr17","94987271","84090000","84100000","PASS","67.1","74.79","5","914","2","#004949","5","914","2","(pahari,(caroli,(((mus-t,mm10)<1>,spicilegus)<2>,spretus)<3>)<4>)<5>;","FALSE","FALSE","(pahari:5,(caroli:0.0000021856,(((mus-t:0.0000011925,mm10:0.0000011925)95:0.0093048404,spicilegus:0.0134312175)65:0.0030248527,spretus:0.0101346571)36:0.0303426239):5);"
chr17:93680000-93690000,"chr17","94987271","93680000","93690000","PASS","67.1","74.79","3","225","7","#999999","3","225","7","(pahari,((caroli,(mus-t,mm10)<1>)<2>,(spicilegus,spretus)<3>)<4>)<5>;","FALSE","FALSE","(pahari:5e-07,((caroli:0.0279364742,(mus-t:0.0054709024,mm10:0.0003108023)84:0.0050954252)41:0.0013261824,(spicilegus:0.0047553704,spretus:0.0061831699)77:0.0000024603):5e-07);"
chr17:17610000-17620000,"chr17","94987271","17610000","17620000","PASS","67.1","74.79","1","2527","1","#db6d00","1","2527","1","(pahari,(caroli,((mus-t,mm10)<1>,(spicilegus,spretus)<2>)<3>)<4>)<5>;","TRUE","TRUE","(pahari:0.0221671,(caroli:0.0179110475,((mus-t:0.0021382135,mm10:0.0031005400)100:0.0085330730,(spicilegus:0.0024513605,spretus:0.0051790598)100:0.0029592242)100:0.0173690523):0.0221671);"
chr17:33080000-33090000,"chr17","94987271","33080000","33090000","PASS","67.1","74.79","6","176","9","#999999","6","176","9","(pahari,(((caroli,(spicilegus,spretus)<1>)<2>,mus-t)<3>,mm10)<4>)<5>;","FALSE","FALSE","(pahari:0.995725,(((caroli:0.0297214611,(spicilegus:0.0111627683,spretus:0.0127171808)86:0.0041077204)66:0.0109096459,mus-t:0.0020543591)22:0.0000096252,mm10:0.0030662926):0.995725);"
chr17:28760000-28770000,"chr17","94987271","28760000","28770000","PASS","67.1","74.79","2","454","3","#006ddb","2","454","3","(pahari,(caroli,(((mus-t,mm10)<1>,spretus)<2>,spicilegus)<3>)<4>)<5>;","FALSE","FALSE","(pahari:0.0316739,(caroli:0.0232067261,(((mus-t:0.0031936687,mm10:0.0019959128)100:0.0068584417,spretus:0.0112643299)83:0.0024306981,spicilegus:0.0107721963)100:0.0127959559):0.0316739);"
chr17:34800000-34810000,"chr17","94987271","34800000","34810000","FILTER","67.1","74.79","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
chr17:50370000-50380000,"chr17","94987271","50370000","50380000","FILTER","67.1","74.79","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
chr17:38220000-38230000,"chr17","94987271","38220000","38230000","FILTER","67.1","74.79","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
