# PYTHON VERSION: 3.11.3
# Script call:    16_get_window_stats.py -i ../02-fasta/ -w 10 -o ../data/mm10-10kb-window-stats.tsv -s ../data/mm10-10kb-spec-counts.tsv -d ../03-fasta-no-anc-filter --overwrite
# Runtime:        07/27/2023 11:49:59
# ----------------
# Window size (-w):	10kb
# Input directory:	/n/holylfs05/LABS/informatics/Users/gthomas/mus-t-haplotype/mus-t-windows/02-fasta
# Missing threshold (seq):	0.5
# Missing threshold (site):	0.5
# Gap threshold (seq):	0.5
# Gap threshold (site):	0.5
# Gap threshold (window):	0.5
# Missing+gap threshold (seq):	0.5
# Missing+gap threshold (site):	0.5
# Output file:	/n/holylfs05/LABS/informatics/Users/gthomas/mus-t-haplotype/mus-t-windows/data/mm10-10kb-window-stats.tsv
# Species file:	../data/mm10-10kb-spec-counts.tsv
# Seq outdir:	../03-fasta-no-anc-filter
# ----------------
window	scaffold	start	end	total.seqs	aln.len	uniq.seqs	ident.seqs	seqs.above.missing	seqs.all.missing	avg.seq.len.wo.missing	seqs.above.gappy	seqs.all.gappy	seqs.above.missing.gappy	seqs.all.missing.gappy	invariant.sites	informative.sites	sites.w.missing	perc.sites.w.missing	sites.high.missing	perc.sites.high.missing	sites.all.missing	sites.w.gap	perc.sites.w.gap	sites.high.gap	perc.sites.high.gap	sites.all.gap	sites.missing.gap	perc.sites.missing.gap	sites.high.missing.gap	perc.sites.high.missing.gap	sites.all.missing.gap	total.seqs.filter	aln.len.filter	uniq.seqs.filter	ident.seqs.filter	seqs.above.missing.filter	seqs.all.missing.filter	avg.seq.len.wo.missing.filter	seqs.above.gappy.filter	seqs.all.gappy.filter	seqs.above.missing.gappy.filter	seqs.all.missing.gappy.filter	invariant.sites.filter	informative.sites.filter	sites.w.missing.filter	perc.sites.w.missing.filter	sites.high.missing.filter	perc.sites.high.missing.filter	sites.all.missing.filter	sites.w.gap.filter	perc.sites.w.gap.filter	sites.high.gap.filter	perc.sites.high.gap.filter	sites.all.gap.filter	sites.missing.gap.filter	perc.sites.missing.gap.filter	sites.high.missing.gap.filter	perc.sites.high.missing.gap.filter	sites.all.missing.gap.filter	written
chr17:47870000-47880000	chr17	47870000	47880000	5	10000	5	0	0	0	4.689	0	0	0	0	7658	76	888	0.0888	798	0.0798	0	418	0.0418	334	0.0334	0	1277	0.1277	1202	0.1202	93	5	9617	5	0	0	0	4.696994904855984	0	0	0	0	7650	76	871	0.09056878444421337	790	0.08214619943849433	0	89	0.009254445253197463	5	0.0005199126546740147	0	931	0.09680773630030155	860	0.08942497660393053	62	TRUE
chr17:60890000-60900000	chr17	60890000	60900000	6	10000	6	0	0	0	4.9601	1	0	2	1	0	127	2280	0.228	1532	0.1532	0	5010	0.501	1777	0.1777	0	5772	0.5772	4052	0.4052	2582	6	8178	6	0	0	0	4.926876987038396	1	0	1	1	0	127	2231	0.27280508681829296	1521	0.185986793837124	0	3206	0.3920273905600391	4	0.0004891171435558817	0	3962	0.4844705306921008	2252	0.27537295182196136	1191	TRUE
chr17:47780000-47790000	chr17	47780000	47790000	5	10000	5	0	0	0	4.1773	0	0	1	0	2994	134	2813	0.2813	1740	0.174	0	1492	0.1492	896	0.0896	0	3921	0.3921	3249	0.3249	61	5	9025	5	0	0	0	4.1296398891966755	0	0	1	0	2992	128	2785	0.30858725761772854	1721	0.19069252077562326	0	596	0.06603878116343491	4	0.00044321329639889195	0	2997	0.3320775623268698	2332	0.258393351800554	51	TRUE
chr17:93040000-93050000	chr17	93040000	93050000	6	10000	6	0	0	0	5.2641	1	0	4	0	52	65	1039	0.1039	799	0.0799	0	4924	0.4924	4183	0.4183	0	5766	0.5766	5056	0.5056	2923	6	5777	6	0	0	0	5.280076164099014	1	0	1	0	50	64	1028	0.17794703133114073	793	0.13726847844902199	0	729	0.12619006404708327	6	0.0010386013501817552	0	1569	0.271594253072529	867	0.15007789510126363	466	TRUE
chr17:29530000-29540000	chr17	29530000	29540000	6	10000	6	0	1	0	4.6723	5	0	6	0	0	18	2985	0.2985	0	0.0	0	9655	0.9655	6019	0.6019	0	9665	0.9665	8709	0.8709	7059	6	3943	6	0	2	0	4.226984529546031	2	0	5	0	0	16	2533	0.6424042607151915	0	0.0	0	3600	0.9130103981739792	5	0.00126806999746386	0	3610	0.915546538168907	2666	0.6761349226477301	1308	TRUE
chr17:34550000-34560000	chr17	34550000	34560000	6	10000	6	0	1	0	4.9832	3	0	5	1	0	18	2988	0.2988	228	0.0228	0	9751	0.9751	3868	0.3868	0	9948	0.9948	6777	0.6777	2869	6	6062	6	0	0	0	4.858132629495216	2	0	3	1	0	18	2854	0.47080171560541073	222	0.03662157703728142	0	5829	0.9615638403167271	9	0.0014846585285384361	0	6018	0.9927416694160344	2892	0.4770702738370175	155	TRUE
chr17:18620000-18630000	chr17	18620000	18630000	6	10000	6	0	1	0	5.1056	5	0	6	0	0	60	1257	0.1257	498	0.0498	0	9670	0.967	8019	0.8019	0	10000	1.0	9225	0.9225	4735	6	1950	6	0	3	0	3.8	3	0	6	0	0	60	1172	0.601025641025641	496	0.25435897435897437	0	1620	0.8307692307692308	4	0.0020512820512820513	0	1950	1.0	1181	0.6056410256410256	1073	TRUE
chr17:28820000-28830000	chr17	28820000	28830000	6	10000	6	0	0	0	5.137	0	0	0	0	5571	114	2226	0.2226	1243	0.1243	0	1958	0.1958	763	0.0763	0	3103	0.3103	2842	0.2842	900	6	9193	6	0	0	0	5.14228217121723	0	0	0	0	5565	114	2178	0.2369193951919939	1233	0.13412378984009574	0	1181	0.12846731208528228	2	0.00021755683672359405	0	2308	0.2510605895790275	2062	0.22430109866202547	430	TRUE
chr17:3380000-3390000	chr17	3380000	3390000	6	10000	6	0	0	0	4.6727	1	0	4	0	526	73	3707	0.3707	1322	0.1322	0	4838	0.4838	1375	0.1375	0	5867	0.5867	4827	0.4827	2255	6	8536	6	0	0	0	4.599226804123711	1	0	2	0	522	72	3505	0.41061387066541705	1309	0.15335051546391754	0	3396	0.3978444236176195	10	0.0011715089034676663	0	4419	0.5176897844423618	3399	0.39819587628865977	1532	TRUE
chr17:64070000-64080000	chr17	64070000	64080000	6	10000	6	0	0	0	4.2581	1	0	3	0	10	129	4765	0.4765	3268	0.3268	0	6646	0.6646	329	0.0329	0	7083	0.7083	5033	0.5033	3339	6	9625	6	0	0	0	4.224935064935065	1	0	2	0	10	124	4696	0.4878961038961039	3260	0.3387012987012987	0	6287	0.6531948051948052	2	0.0002077922077922078	0	6718	0.697974025974026	4686	0.4868571428571429	3244	TRUE
chr17:71250000-71260000	chr17	71250000	71260000	5	10000	5	0	0	0	4.7062	0	0	0	0	7322	95	757	0.0757	650	0.065	0	637	0.0637	622	0.0622	0	1381	0.1381	1304	0.1304	445	5	9346	5	0	0	0	4.737641771881019	0	0	0	0	7307	95	744	0.07960624866252942	640	0.0684784934731436	0	16	0.0017119623368285898	4	0.00042799058420714745	0	749	0.08014123689278836	672	0.07190241814680078	120	TRUE
chr17:3670000-3680000	chr17	3670000	3680000	6	10000	6	0	0	0	4.8344	0	0	0	0	5311	145	2847	0.2847	1929	0.1929	0	3060	0.306	668	0.0668	0	3904	0.3904	3393	0.3393	2251	6	9276	6	0	0	0	4.824708926261319	0	0	0	0	5307	142	2785	0.3002371711944804	1923	0.20730918499353168	0	2345	0.2528029322984045	2	0.00021561017680034498	0	3185	0.3433592065545494	2683	0.28924105217766277	1882	TRUE
chr17:16860000-16870000	chr17	16860000	16870000	6	10000	6	0	0	0	5.0076	0	0	0	0	5413	123	2433	0.2433	1649	0.1649	0	1396	0.1396	694	0.0694	0	3165	0.3165	3028	0.3028	757	6	9288	6	0	0	0	4.999677002583979	0	0	0	0	5413	123	2415	0.2600129198966408	1645	0.17711024978466838	0	693	0.07461240310077519	6	0.0006459948320413437	0	2457	0.26453488372093026	2322	0.25	172	TRUE
chr17:1760000-1770000	chr17	1760000	1770000	1	10000	1	0	1	1	0.0	0	0	1	1	10000	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	1	10000	1	0	1	1	0.0	0	0	1	1	10000	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	TRUE
chr17:34530000-34540000	chr17	34530000	34540000	6	10000	6	0	0	0	5.4555	3	1	4	1	0	264	692	0.0692	89	0.0089	0	7276	0.7276	4692	0.4692	0	7523	0.7523	5336	0.5336	3216	6	5261	6	0	0	0	5.580688082113666	1	1	2	1	0	261	667	0.12678198061205095	81	0.01539631248812013	0	2558	0.4862193499334727	9	0.0017107013875689032	0	2793	0.5308876639422163	629	0.11955901919787112	283	TRUE
chr17:4640000-4650000	chr17	4640000	4650000	6	10000	6	0	0	0	4.8979	0	0	0	0	4482	148	2959	0.2959	1158	0.1158	0	3120	0.312	790	0.079	0	4073	0.4073	3620	0.362	1647	6	9171	6	0	0	0	4.879838621742449	0	0	0	0	4477	147	2879	0.31392432668193215	1148	0.12517718896521643	0	2306	0.2514447715625341	11	0.0011994329953113074	0	3253	0.3547050485225166	2809	0.30629157125722384	1242	TRUE
chr17:42000000-42010000	chr17	42000000	42010000	6	10000	6	0	1	0	4.8652	4	0	5	0	0	36	1392	0.1392	99	0.0099	0	8530	0.853	7050	0.705	0	8758	0.8758	8404	0.8404	25	6	2944	6	0	0	0	4.545516304347826	1	0	2	0	0	36	1386	0.47078804347826086	95	0.03226902173913043	0	1480	0.5027173913043478	2	0.0006793478260869565	0	1702	0.578125	1350	0.4585597826086957	10	TRUE
chr17:28850000-28860000	chr17	28850000	28860000	6	10000	6	0	0	0	4.8156	0	0	2	0	3178	176	2976	0.2976	1041	0.1041	0	3962	0.3962	1551	0.1551	0	5592	0.5592	4424	0.4424	317	6	8390	6	0	0	0	4.7231227651966625	0	0	0	0	3165	169	2953	0.35196662693682956	1031	0.12288438617401669	0	2395	0.28545887961859356	5	0.0005959475566150178	0	4005	0.47735399284862934	2853	0.3400476758045292	208	TRUE
chr17:26210000-26220000	chr17	26210000	26220000	6	10000	6	0	0	0	5.4315	0	0	0	0	5792	195	1590	0.159	328	0.0328	0	2473	0.2473	594	0.0594	0	2827	0.2827	2226	0.2226	134	6	9383	6	0	0	0	5.436107854630715	0	0	0	0	5784	194	1586	0.16902909517211978	328	0.03495683683256954	0	1870	0.19929660023446658	3	0.0003197271661515507	0	2224	0.23702440584034956	1629	0.17361185122029202	134	TRUE
chr17:29560000-29570000	chr17	29560000	29570000	6	10000	6	0	0	0	4.5591	0	0	1	0	3798	195	3608	0.3608	1926	0.1926	0	3752	0.3752	821	0.0821	0	4857	0.4857	4535	0.4535	2679	6	9131	6	0	0	0	4.515606176760486	0	0	0	0	3794	189	3575	0.39152338188588326	1915	0.20972511225495566	0	2907	0.3183660059139196	4	0.00043806811959259663	0	4003	0.4383966706822911	3681	0.4031321870550871	2184	TRUE
chr17:36060000-36070000	chr17	36060000	36070000	6	10000	6	0	0	0	5.474	4	0	4	1	0	458	426	0.0426	174	0.0174	0	8619	0.8619	5531	0.5531	0	8791	0.8791	5911	0.5911	515	6	4432	6	0	0	0	5.6922382671480145	1	0	1	1	0	455	362	0.08167870036101083	172	0.0388086642599278	0	3059	0.6902075812274369	3	0.0006768953068592057	0	3229	0.7285649819494585	376	0.08483754512635379	22	TRUE
chr17:31150000-31160000	chr17	31150000	31160000	6	10000	6	0	0	0	4.8015	1	0	2	0	3025	120	3183	0.3183	958	0.0958	0	5011	0.5011	1690	0.169	0	5727	0.5727	4748	0.4748	1624	6	8228	6	0	0	0	4.7311618862421	1	0	1	0	3022	117	3133	0.38077297034516283	936	0.11375789985415653	0	3282	0.3988818667963053	4	0.0004861448711716091	0	3976	0.4832280019445795	3014	0.3663101604278075	484	TRUE
chr17:12070000-12080000	chr17	12070000	12080000	6	10000	6	0	1	0	4.6438	3	0	6	0	1623	97	2714	0.2714	809	0.0809	0	7344	0.7344	4787	0.4787	0	7683	0.7683	7246	0.7246	6226	6	5165	6	0	0	0	4.332236205227493	1	0	4	0	1620	95	2560	0.49564375605033884	803	0.15546950629235237	0	2523	0.48848015488867375	2	0.0003872216844143272	0	2856	0.5529525653436592	2427	0.4698935140367861	1629	TRUE
chr17:81780000-81790000	chr17	81780000	81790000	6	10000	6	0	0	0	5.423	1	0	1	1	0	197	1147	0.1147	354	0.0354	0	2962	0.2962	1872	0.1872	0	3231	0.3231	2939	0.2939	1824	6	8103	6	0	0	0	5.504751326669135	1	0	1	1	0	195	1127	0.13908428976922127	348	0.042947056645686786	0	1082	0.13353079106503765	3	0.00037023324694557573	0	1339	0.16524743922004195	1056	0.13032210292484264	174	TRUE
chr17:21860000-21870000	chr17	21860000	21870000	6	10000	6	0	0	0	5.5212	4	0	4	0	0	86	640	0.064	400	0.04	0	9518	0.9518	7224	0.7224	0	9687	0.9687	7745	0.7745	1878	6	2715	6	0	0	0	5.257458563535912	2	0	2	0	0	83	501	0.18453038674033148	396	0.14585635359116023	0	2238	0.8243093922651934	3	0.0011049723756906078	0	2404	0.885451197053407	505	0.1860036832412523	375	TRUE
chr17:24410000-24420000	chr17	24410000	24420000	6	10000	6	0	0	0	5.0364	0	0	0	0	4067	137	2179	0.2179	1431	0.1431	0	2553	0.2553	1517	0.1517	0	3891	0.3891	3614	0.3614	841	6	8440	6	0	0	0	4.999407582938389	0	0	0	0	4060	136	2148	0.25450236966824646	1419	0.16812796208530806	0	1023	0.1212085308056872	5	0.0005924170616113745	0	2347	0.2780805687203792	2078	0.2462085308056872	362	TRUE
chr17:380000-390000	chr17	380000	390000	1	10000	1	0	1	1	0.0	0	0	1	1	10000	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	1	10000	1	0	1	1	0.0	0	0	1	1	10000	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	TRUE
chr17:62550000-62560000	chr17	62550000	62560000	6	10000	6	0	0	0	5.1465	1	0	1	0	0	116	2493	0.2493	131	0.0131	0	3716	0.3716	743	0.0743	0	3924	0.3924	3233	0.3233	542	6	9219	6	0	0	0	5.152619589977221	1	0	1	0	0	114	2475	0.26846729580214773	127	0.013775897602776874	0	2953	0.3203167371732292	6	0.0006508298080052066	0	3157	0.3424449506454062	2476	0.26857576743681527	144	TRUE
chr17:83810000-83820000	chr17	83810000	83820000	6	10000	6	0	0	0	5.0074	1	0	1	0	3	120	2701	0.2701	256	0.0256	0	5124	0.5124	1593	0.1593	0	5418	0.5418	4462	0.4462	1598	6	8359	6	0	0	0	4.987797583442996	1	0	1	0	3	120	2606	0.3117597798779758	256	0.03062567292738366	0	3487	0.4171551621007297	12	0.001435578418471109	0	3779	0.45208757028352675	2843	0.34011245364278025	504	TRUE
chr17:75420000-75430000	chr17	75420000	75430000	5	10000	5	0	1	0	4.0118	4	0	5	0	2254	23	1202	0.1202	1166	0.1166	0	6889	0.6889	6159	0.6159	0	7397	0.7397	7379	0.7379	5984	5	3827	5	0	0	0	4.018291089626339	0	0	0	0	2247	23	1191	0.31120982492814214	1155	0.3018029788345963	0	728	0.19022733211392737	4	0.0010452051215050953	0	1231	0.3216618761431931	1213	0.3169584530964202	821	TRUE
chr17:46740000-46750000	chr17	46740000	46750000	6	10000	6	0	1	0	4.7913	1	0	5	0	0	138	2986	0.2986	1103	0.1103	0	5308	0.5308	2417	0.2417	0	6077	0.6077	5211	0.5211	2672	6	7541	6	0	0	0	4.723776687441984	1	0	1	0	0	138	2843	0.377005702161517	1099	0.14573663970295717	0	2857	0.37886221986473945	8	0.0010608672589842195	0	3622	0.4803076515051054	2773	0.3677231136454051	760	TRUE
chr17:47900000-47910000	chr17	47900000	47910000	6	10000	6	0	0	0	5.213	1	0	1	0	0	102	2292	0.2292	763	0.0763	0	2839	0.2839	826	0.0826	0	3541	0.3541	2987	0.2987	777	6	9139	6	0	0	0	5.2215778531568	1	0	1	0	0	102	2204	0.24116424116424118	761	0.0832695043221359	0	1994	0.21818579713316555	9	0.000984790458474669	0	2685	0.2937958201116096	2135	0.23361418098260203	518	TRUE
chr17:7180000-7190000	chr17	7180000	7190000	6	10000	6	0	0	0	4.9779	0	0	0	0	4743	203	2518	0.2518	1125	0.1125	0	2196	0.2196	442	0.0442	0	3449	0.3449	2800	0.28	840	6	9525	6	0	0	0	4.963464566929134	0	0	0	0	4741	203	2497	0.2621522309711286	1118	0.1173753280839895	0	1740	0.1826771653543307	3	0.00031496062992125983	0	2983	0.3131758530183727	2339	0.24556430446194225	704	TRUE
chr17:80140000-80150000	chr17	80140000	80150000	6	10000	6	0	0	0	5.1437	1	0	1	1	0	174	1964	0.1964	620	0.062	0	4420	0.442	2201	0.2201	0	5044	0.5044	4121	0.4121	646	6	7773	6	0	0	0	5.1624855268236205	1	0	1	1	0	174	1948	0.25061108966936835	615	0.07912003087610961	0	2209	0.284188858870449	8	0.0010292036536729706	0	2827	0.363694841116686	1910	0.2457223723144217	158	TRUE
chr17:9190000-9200000	chr17	9190000	9200000	6	10000	6	0	0	0	4.8627	0	0	1	0	4225	111	2747	0.2747	2518	0.2518	0	3400	0.34	581	0.0581	0	3474	0.3474	3324	0.3324	2604	6	9383	6	0	0	0	4.840242992646275	0	0	0	0	4221	111	2723	0.2902056911435575	2506	0.2670787594585953	0	2799	0.2983054460193968	4	0.00042630288820206754	0	2873	0.30619204945113504	2723	0.2902056911435575	2470	TRUE
chr17:87770000-87780000	chr17	87770000	87780000	6	10000	6	0	0	0	4.8903	1	0	2	0	27	150	2880	0.288	998	0.0998	0	4210	0.421	1582	0.1582	0	5377	0.5377	4412	0.4412	250	6	8371	6	0	0	0	4.794409270099152	1	0	1	0	27	150	2854	0.340938955919245	992	0.1185043602914825	0	2613	0.31214908613068926	10	0.001194600406164138	0	3765	0.449767052920798	2814	0.33616055429458847	5	TRUE
chr17:76870000-76880000	chr17	76870000	76880000	6	10000	6	0	0	0	4.7776	1	0	2	0	0	174	2768	0.2768	1728	0.1728	0	4040	0.404	2177	0.2177	0	5218	0.5218	4906	0.4906	2570	6	7791	6	0	0	0	4.691182133230651	1	0	1	0	0	172	2750	0.35297137723013733	1720	0.22076755230394043	0	1845	0.23681170581440122	1	0.0001283532280836863	0	3015	0.3869849826723142	2712	0.3480939545629573	695	TRUE
chr17:41230000-41240000	chr17	41230000	41240000	6	10000	6	0	0	0	5.0088	2	0	4	0	19	113	2648	0.2648	276	0.0276	0	5941	0.5941	2657	0.2657	0	6339	0.6339	5223	0.5223	2151	6	7292	6	0	0	0	4.928003291278113	1	0	1	0	19	110	2622	0.35957213384530995	273	0.03743828853538124	0	3237	0.44391113549094896	5	0.0006856829402084476	0	3635	0.4984914975315414	2545	0.34901261656609983	520	TRUE
chr17:37100000-37110000	chr17	37100000	37110000	6	10000	6	0	1	0	4.7148	5	0	6	0	0	42	1383	0.1383	832	0.0832	0	9128	0.9128	7896	0.7896	0	9808	0.9808	9407	0.9407	8291	6	2039	6	0	3	0	3.3536047081902893	2	0	6	0	0	38	1293	0.6341343795978421	821	0.4026483570377636	0	1180	0.5787150564001962	1	0.0004904364884747426	0	1853	0.9087788131436979	1468	0.719960765080922	1022	TRUE
chr17:45960000-45970000	chr17	45960000	45970000	6	10000	6	0	0	0	4.9947	1	0	1	0	18	126	2764	0.2764	1434	0.1434	0	2318	0.2318	239	0.0239	0	3415	0.3415	2935	0.2935	866	6	9729	6	0	0	0	4.997635933806147	1	0	1	0	18	126	2728	0.2803988076883544	1421	0.14605817658546613	0	2061	0.211840888066605	6	0.0006167129201356768	0	3153	0.3240826395312982	2675	0.2749511768938226	726	TRUE
chr17:32450000-32460000	chr17	32450000	32460000	6	10000	6	0	0	0	4.5374	1	0	1	0	0	136	3362	0.3362	2119	0.2119	0	2939	0.2939	912	0.0912	0	4897	0.4897	4193	0.4193	1571	6	8997	6	0	0	0	4.476158719573191	1	0	1	0	0	133	3300	0.3667889296432144	2089	0.23218850728020451	0	1991	0.22129598755140603	7	0.0007780371234856063	0	3910	0.4345893075469601	3230	0.3590085584083583	1096	TRUE
chr17:43750000-43760000	chr17	43750000	43760000	6	10000	6	0	0	0	5.1118	1	0	2	0	67	205	2011	0.2011	556	0.0556	0	4839	0.4839	2408	0.2408	0	5454	0.5454	4554	0.4554	1094	6	7566	6	0	0	0	5.107057890563045	1	0	1	0	67	202	2001	0.26447264076130056	554	0.0732223103357124	0	2420	0.3198519693365054	5	0.0006608511763150939	0	3033	0.40087232355273594	2139	0.28271213322759714	1	TRUE
chr17:54700000-54710000	chr17	54700000	54710000	6	10000	6	0	0	0	4.7156	1	0	2	0	0	130	3417	0.3417	1081	0.1081	0	5044	0.5044	1485	0.1485	0	5589	0.5589	4886	0.4886	1962	6	8502	6	0	0	0	4.655139967066573	1	0	1	0	0	130	3411	0.4011997177134792	1081	0.12714655375205833	0	3556	0.41825452834627147	7	0.0008233356857210068	0	4101	0.48235709244883557	3402	0.40014114326040934	584	TRUE
